"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","1","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности - Axe Core @accessibility @P2","","","A11Y-AXE: Полный аудит с axe-core",""
"passed","Mon Feb 16 20:37:40 UTC 2026","Mon Feb 16 20:37:48 UTC 2026","7198","firefox","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: medium - Средний размер",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","1","webkit","functional/edge-cases.spec.ts","Edge Cases - Длина и формат данных @functional @P1","","","EDGE-04: Максимальная длина заголовка события (255 символов)",""
"passed","Mon Feb 16 20:37:36 UTC 2026","Mon Feb 16 20:37:41 UTC 2026","5497","mobile-chrome","functional/widget-designs.spec.ts","Widget Color Themes @functional @P1","","","Theme: red - Красная тема",""
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","0","mobile-safari","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-10: Ошибка сервера 500",""
"skipped","Mon Feb 16 20:39:56 UTC 2026","Mon Feb 16 20:39:57 UTC 2026","832","webkit","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-06: Проверка скриншота ключевых элементов",""
"passed","Mon Feb 16 20:39:43 UTC 2026","Mon Feb 16 20:39:49 UTC 2026","5801","webkit","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-02: Мобильное устройство - все ключевые элементы видны",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","0","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-08: Медленная сеть - таймауты",""
"passed","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","4927","firefox","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: modern - Современный дизайн",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","4","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Граничные условия дат @functional @P2","","","EDGE-13: Событие на границе месяцев",""
"passed","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:28 UTC 2026","4218","mobile-chrome","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: modern - Современный дизайн",""
"passed","Mon Feb 16 20:39:22 UTC 2026","Mon Feb 16 20:39:28 UTC 2026","5956","webkit","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-04: Заголовок страницы соответствует ожиданиям",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","1","chromium","functional/edge-cases.spec.ts","Edge Cases - Граничные условия дат @functional @P2","","","EDGE-13: Событие на границе месяцев",""
"passed","Mon Feb 16 20:36:58 UTC 2026","Mon Feb 16 20:37:06 UTC 2026","7785","chromium","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-02: Изображения имеют alt-атрибуты",""
"passed","Mon Feb 16 20:39:49 UTC 2026","Mon Feb 16 20:39:56 UTC 2026","6530","webkit","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-05: Десктоп малый - проверка на небольших мониторах",""
"passed","Mon Feb 16 20:37:20 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","4499","mobile-chrome","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-10: Фокус виден при табуляции",""
"passed","Mon Feb 16 20:37:22 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","4445","chromium","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-09: Skip-link или навигационные landmarks",""
"passed","Mon Feb 16 20:37:50 UTC 2026","Mon Feb 16 20:37:57 UTC 2026","7136","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-08: Страница может быть навигирована с клавиатуры",""
"skipped","Mon Feb 16 20:38:57 UTC 2026","Mon Feb 16 20:38:57 UTC 2026","13","firefox","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-08: iPad Pro - проверка планшетного режима",""
"passed","Mon Feb 16 20:38:54 UTC 2026","Mon Feb 16 20:39:00 UTC 2026","6274","mobile-chrome","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-03: Планшет - корректное отображение",""
"passed","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:34 UTC 2026","13180","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-02: Изображения имеют alt-атрибуты",""
"passed","Mon Feb 16 20:38:41 UTC 2026","Mon Feb 16 20:38:47 UTC 2026","6124","chromium","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-08: URL страницы корректный после загрузки",""
"passed","Mon Feb 16 20:38:48 UTC 2026","Mon Feb 16 20:38:54 UTC 2026","5618","mobile-safari","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-05: Проверка работы выбора дизайна",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","1","webkit","functional/edge-cases.spec.ts","Edge Cases - Граничные условия дат @functional @P2","","","EDGE-14: Событие на 29 февраля (високосный год)",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","3","webkit","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
